"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60"
"21" "2" "1" "1" "1" "1" "1" "4" "3" "4" "4" "4" "3" "4" "4" "2" "4" "4" "3" "4" "4" "4" "4" "3" "1" "4" "2" "4" "4" "5" "4" "4" "5" "4" "2" "4" "4" "5" "4" "2" "5" "4" "4" "4" "4" "3" "4" "1" "2" "2" "2" "2" "1" "2" "1" "1" "3" "29" "17" "9" "M"
"22" "3" "1" "2" "1" "1" "1" "4" "3" "5" "5" "2" "4" "5" "4" "4" "1" "4" "4" "2" "4" "4" "2" "2" "2" "4" "4" "2" "4" "4" "3" "4" "4" "4" "3" "4" "4" "2" "4" "4" "5" "4" "4" "4" "4" "5" "3" "2" "4" "4" "2" "4" "1" "4" "1" "1" "4" "30" "27" "24" "F"
"23" "4" "4" "4" "4" "4" "4" "3" "2" "4" "3" "2" "4" "4" "4" "3" "2" "4" "2" "1" "4" "3" "2" "3" "1" "4" "2" "1" "4" "4" "3" "3" "4" "4" "2" "2" "4" "4" "4" "3" "4" "4" "3" "4" "3" "4" "4" "4" "4" "4" "4" "4" "3" "4" "5" "3" "4" "27" "39" "28" "M"
"24" "3" "2" "2" "2" "1" "2" "4" "2" "4" "2" "3" "4" "4" "4" "2" "1" "4" "3" "2" "4" "4" "3" "2" "1" "4" "2" "4" "4" "4" "2" "2" "2" "4" "2" "2" "4" "4" "3" "3" "5" "4" "3" "2" "4" "3" "3" "3" "4" "4" "3" "4" "2" "3" "4" "3" "4" "29" "34" "30" "M"
"25" "4" "1" "2" "1" "1" "1" "5" "4" "5" "5" "1" "3" "4" "3" "4" "2" "5" "3" "2" "5" "4" "3" "2" "3" "5" "4" "3" "4" "2" "3" "2" "5" "4" "4" "3" "3" "4" "4" "2" "5" "3" "4" "5" "3" "5" "3" "2" "4" "4" "2" "3" "1" "3" "2" "2" "4" "31" "27" "24" "F"
"26" "3" "2" "2" "1" "1" "1" "4" "4" "5" "3" "2" "3" "4" "2" "2" "1" "5" "4" "2" "4" "2" "2" "5" "1" "4" "1" "4" "5" "3" "1" "1" "4" "2" "2" "2" "3" "4" "4" "5" "5" "5" "3" "5" "2" "3" "4" "3" "2" "4" "2" "3" "1" "3" "1" "1" "3" "37" "23" "9" "F"
"27" "2" "2" "1" "1" "1" "1" "2" "2" "5" "2" "2" "4" "4" "4" "4" "1" "4" "1" "5" "4" "2" "4" "2" "1" "4" "1" "2" "2" "4" "2" "1" "5" "3" "1" "2" "4" "4" "4" "1" "4" "2" "5" "4" "2" "4" "2" "2" "5" "5" "5" "5" "2" "4" "2" "2" "5" "26" "37" "26" "F"
"28" "3" "1" "2" "1" "1" "1" "3" "4" "5" "3" "3" "5" "5" "2" "4" "2" "5" "3" "3" "5" "2" "5" "4" "2" "5" "3" "1" "3" "5" "5" "3" "3" "5" "3" "3" "3" "5" "5" "3" "5" "5" "3" "5" "2" "3" "4" "4" "5" "5" "5" "5" "2" "4" "5" "4" "5" "26" "44" "32" "F"
"29" "2" "2" "1" "1" "1" "1" "5" "4" "5" "4" "4" "4" "4" "1" "4" "4" "4" "4" "3" "4" "2" "4" "3" "1" "4" "4" "2" "4" "4" "4" "5" "4" "4" "3" "1" "4" "4" "4" "4" "5" "5" "4" "4" "4" "5" "4" "4" "5" "5" "4" "5" "2" "4" "3" "4" "5" "30" "41" "32" "M"
"30" "4" "2" "3" "1" "2" "2" "4" "4" "5" "3" "1" "3" "3" "2" "1" "1" "4" "3" "1" "4" "4" "2" "2" "1" "4" "1" "1" "4" "3" "2" "1" "5" "3" "2" "3" "5" "4" "3" "3" "4" "3" "3" "3" "3" "4" "2" "1" "4" "3" "3" "3" "1" "3" "2" "1" "3" "37" "24" "0" "F"
"31" "3" "1" "2" "1" "1" "1" "4" "1" "5" "4" "2" "4" "4" "2" "4" "2" "3" "2" "2" "4" "3" "1" "2" "1" "3" "5" "3" "3" "3" "2" "4" "2" "4" "4" "2" "4" "5" "4" "4" "5" "4" "3" "4" "3" "3" "4" "4" "4" "3" "5" "4" "4" "2" "1" "5" "5" "33" "37" "33" "F"
"32" "2" "2" "3" "2" "1" "3" "3" "4" "4" "3" "4" "4" "3" "1" "3" "3" "3" "2" "4" "4" "3" "4" "4" "3" "4" "2" "4" "3" "2" "3" "4" "5" "2" "2" "3" "3" "4" "4" "4" "4" "3" "4" "5" "1" "2" "5" "1" "3" "3" "4" "3" "1" "3" "2" "2" "3" "33" "25" "29" "F"
"33" "2" "4" "2" "2" "1" "2" "4" "4" "4" "3" "3" "5" "4" "2" "4" "4" "5" "2" "4" "4" "2" "5" "5" "3" "4" "2" "2" "3" "4" "5" "2" "5" "2" "2" "3" "2" "4" "5" "5" "4" "5" "3" "5" "4" "4" "4" "4" "3" "4" "2" "4" "2" "4" "2" "2" "3" "28" "30" "30" "M"
"34" "1" "1" "1" "1" "1" "1" "2" "4" "5" "2" "4" "5" "5" "1" "4" "1" "5" "1" "1" "5" "5" "1" "1" "4" "4" "1" "5" "5" "5" "1" "1" "1" "5" "1" "2" "5" "5" "5" "5" "5" "5" "5" "5" "5" "5" "5" "1" "5" "5" "4" "5" "1" "4" "3" "1" "5" "26" "34" "19" "M"
"35" "4" "1" "1" "1" "1" "1" "5" "2" "5" "2" "2" "4" "4" "2" "4" "1" "3" "4" "2" "5" "2" "1" "4" "1" "4" "1" "2" "4" "3" "2" "4" "4" "2" "2" "2" "3" "4" "4" "4" "5" "4" "4" "4" "2" "5" "4" "3" "4" "4" "4" "4" "1" "4" "4" "2" "2" "27" "32" "23" "F"
"36" "3" "2" "2" "1" "2" "3" "4" "1" "3" "4" "2" "3" "4" "2" "2" "3" "3" "4" "3" "4" "2" "2" "3" "1" "3" "3" "2" "3" "3" "3" "4" "5" "2" "4" "2" "3" "2" "3" "3" "4" "3" "3" "4" "2" "3" "2" "2" "3" "2" "1" "2" "1" "2" "2" "1" "4" "25" "20" "19" "F"
"37" "4" "3" "1" "1" "1" "1" "4" "2" "4" "4" "2" "4" "3" "3" "3" "1" "4" "3" "3" "4" "4" "3" "3" "1" "4" "3" "3" "3" "3" "3" "2" "4" "3" "2" "2" "4" "4" "4" "3" "5" "4" "2" "4" "4" "4" "4" "2" "4" "4" "1" "2" "1" "2" "2" "1" "5" "31" "24" "12" "F"
"38" "2" "5" "4" "5" "5" "4" "4" "1" "5" "4" "2" "4" "5" "2" "3" "1" "5" "3" "1" "4" "4" "1" "3" "1" "4" "3" "1" "4" "5" "1" "4" "3" "4" "2" "2" "5" "5" "3" "3" "5" "3" "2" "3" "4" "5" "3" "3" "4" "5" "4" "5" "3" "4" "5" "4" "5" "20" "42" "10" "M"
"39" "4" "4" "5" "5" "5" "5" "5" "1" "4" "4" "1" "5" "3" "3" "1" "5" "5" "1" "5" "5" "3" "1" "1" "1" "4" "1" "1" "5" "2" "1" "1" "5" "3" "1" "5" "5" "5" "5" "4" "4" "2" "2" "2" "2" "1" "5" "1" "4" "4" "1" "1" "1" "1" "1" "1" "1" "39" "16" "11" "F"
"40" "4" "1" "2" "1" "1" "1" "5" "2" "4" "5" "2" "4" "4" "2" "4" "1" "4" "4" "2" "4" "4" "1" "4" "1" "4" "4" "2" "4" "4" "2" "4" "4" "4" "5" "1" "3" "3" "2" "2" "4" "4" "4" "3" "4" "4" "3" "3" "4" "4" "2" "4" "2" "4" "2" "2" "4" "38" "31" "20" "M"
"41" "3" "3" "1" "1" "2" "3" "4" "5" "4" "5" "2" "3" "5" "1" "4" "2" "2" "5" "4" "4" "2" "1" "2" "1" "3" "3" "2" "3" "2" "2" "2" "5" "3" "4" "2" "4" "4" "2" "1" "4" "3" "3" "4" "4" "3" "2" "4" "5" "5" "5" "4" "1" "3" "4" "2" "5" "24" "38" "26" "M"
"42" "2" "3" "3" "4" "1" "4" "4" "4" "4" "2" "2" "1" "2" "2" "2" "2" "2" "2" "4" "4" "1" "4" "2" "4" "2" "3" "1" "1" "2" "4" "4" "5" "3" "1" "2" "4" "2" "5" "4" "5" "2" "2" "3" "2" "3" "4" "4" "4" "5" "4" "4" "2" "3" "5" "4" "3" "26" "38" "31" "M"
"43" "4" "1" "2" "1" "1" "2" "2" "3" "4" "1" "4" "4" "5" "4" "1" "4" "2" "2" "2" "4" "5" "4" "1" "4" "2" "1" "1" "2" "2" "4" "1" "5" "2" "1" "2" "4" "4" "4" "2" "5" "4" "5" "4" "2" "4" "3" "3" "5" "4" "2" "4" "2" "3" "3" "2" "5" "25" "33" "20" "M"
"44" "4" "2" "2" "1" "2" "1" "4" "4" "5" "5" "3" "4" "4" "2" "4" "3" "4" "3" "4" "4" "5" "2" "3" "4" "5" "5" "3" "3" "2" "2" "5" "5" "5" "3" "5" "3" "5" "4" "1" "4" "3" "3" "4" "4" "4" "5" "2" "4" "2" "1" "1" "1" "1" "1" "1" "3" "30" "17" "23" "F"
"45" "3" "2" "1" "1" "1" "2" "4" "2" "4" "4" "4" "4" "3" "4" "2" "2" "2" "2" "2" "4" "2" "4" "4" "2" "2" "2" "2" "2" "2" "4" "4" "4" "2" "2" "4" "4" "4" "4" "4" "5" "3" "4" "4" "3" "4" "4" "2" "4" "4" "1" "2" "1" "3" "2" "1" "5" "25" "25" "12" "F"
"46" "4" "5" "5" "4" "5" "5" "3" "5" "3" "2" "2" "4" "4" "4" "2" "2" "3" "2" "4" "4" "3" "4" "2" "3" "3" "5" "1" "3" "3" "5" "3" "4" "3" "1" "4" "4" "3" "4" "4" "5" "2" "4" "4" "3" "4" "4" "3" "4" "4" "3" "4" "2" "3" "3" "2" "4" "30" "32" "24" "M"
"47" "2" "1" "2" "1" "1" "1" "5" "1" "5" "5" "4" "4" "5" "2" "5" "1" "5" "5" "4" "4" "2" "1" "5" "2" "5" "4" "2" "4" "2" "2" "5" "5" "4" "5" "3" "1" "5" "5" "4" "5" "5" "2" "5" "2" "4" "5" "2" "5" "5" "2" "5" "1" "4" "4" "2" "5" "48" "35" "17" "F"
"48" "3" "1" "2" "1" "1" "2" "5" "4" "4" "5" "2" "3" "4" "1" "5" "2" "4" "5" "3" "4" "3" "1" "5" "1" "4" "5" "3" "4" "3" "2" "5" "4" "3" "5" "3" "4" "4" "3" "2" "5" "5" "3" "4" "3" "4" "3" "4" "5" "5" "2" "4" "1" "4" "2" "1" "4" "24" "32" "29" "F"
"49" "4" "1" "1" "1" "1" "1" "5" "5" "5" "5" "4" "5" "5" "3" "4" "1" "4" "5" "4" "5" "4" "4" "4" "2" "4" "5" "4" "5" "4" "4" "3" "4" "5" "4" "4" "5" "5" "4" "3" "5" "4" "4" "3" "4" "4" "3" "4" "5" "5" "4" "5" "2" "5" "3" "4" "5" "40" "42" "23" "F"
"50" "2" "1" "1" "1" "1" "1" "5" "2" "5" "2" "2" "5" "5" "1" "2" "1" "4" "4" "4" "4" "2" "1" "2" "1" "1" "5" "3" "5" "2" "2" "4" "4" "2" "2" "2" "5" "5" "2" "3" "5" "5" "4" "4" "4" "5" "4" "4" "5" "4" "4" "4" "1" "2" "1" "1" "5" "25" "31" "28" "M"
"51" "2" "1" "2" "1" "1" "1" "4" "3" "4" "4" "4" "5" "2" "1" "5" "4" "4" "4" "4" "3" "3" "3" "4" "4" "4" "3" "4" "3" "4" "4" "5" "5" "3" "3" "4" "3" "3" "5" "5" "4" "4" "4" "5" "3" "3" "5" "4" "5" "5" "4" "5" "2" "4" "2" "3" "5" "23" "39" "31" "F"
"52" "5" "1" "2" "1" "1" "1" "5" "2" "4" "5" "3" "5" "4" "3" "2" "2" "4" "1" "3" "4" "4" "3" "3" "1" "3" "1" "2" "5" "4" "4" "4" "5" "4" "4" "3" "5" "4" "4" "3" "5" "5" "3" "2" "3" "3" "4" "1" "2" "1" "1" "1" "1" "1" "5" "5" "1" "25" "19" "23" "F"
"53" "4" "2" "3" "2" "1" "1" "2" "1" "3" "2" "2" "2" "1" "4" "2" "2" "4" "2" "2" "4" "2" "2" "4" "1" "1" "2" "4" "2" "4" "5" "4" "5" "4" "2" "2" "3" "5" "5" "5" "3" "4" "5" "5" "2" "2" "5" "1" "2" "2" "4" "2" "1" "1" "2" "1" "5" "23" "21" "25" "F"
"54" "2" "1" "1" "1" "1" "1" "3" "5" "5" "5" "2" "3" "4" "3" "2" "1" "4" "2" "1" "4" "5" "2" "3" "1" "5" "5" "4" "5" "2" "1" "4" "2" "3" "1" "3" "5" "5" "4" "3" "4" "3" "5" "5" "5" "5" "3" "1" "5" "4" "3" "2" "1" "2" "1" "1" "5" "27" "25" "18" "M"
"55" "4" "1" "2" "2" "3" "2" "4" "4" "4" "2" "2" "4" "3" "2" "4" "1" "3" "2" "4" "4" "4" "2" "4" "3" "4" "4" "1" "3" "3" "4" "4" "5" "3" "2" "3" "4" "4" "5" "1" "5" "4" "2" "3" "3" "3" "3" "2" "4" "4" "4" "4" "1" "3" "3" "3" "4" "25" "32" "19" "M"
"56" "4" "1" "1" "1" "1" "2" "4" "2" "3" "2" "4" "2" "4" "4" "2" "1" "3" "2" "4" "4" "4" "5" "4" "1" "3" "1" "4" "1" "2" "4" "1" "5" "3" "1" "3" "3" "2" "4" "1" "4" "4" "2" "4" "1" "3" "4" "3" "2" "2" "5" "2" "3" "2" "5" "4" "4" "23" "32" "22" "M"
"57" "3" "2" "2" "1" "1" "1" "4" "4" "5" "2" "2" "4" "4" "2" "4" "1" "4" "1" "2" "4" "4" "2" "4" "2" "5" "2" "3" "4" "2" "4" "4" "5" "3" "1" "3" "4" "5" "5" "4" "5" "4" "5" "5" "3" "5" "4" "1" "4" "3" "4" "4" "1" "1" "1" "2" "5" "23" "26" "25" "F"
"58" "3" "2" "1" "1" "2" "2" "3" "4" "4" "2" "2" "3" "4" "4" "1" "3" "4" "3" "2" "4" "3" "4" "4" "2" "2" "1" "3" "2" "2" "4" "3" "5" "3" "2" "2" "2" "2" "4" "2" "4" "4" "4" "3" "3" "4" "4" "2" "3" "2" "3" "3" "1" "3" "2" "2" "2" "23" "23" "21" "F"
"59" "4" "1" "2" "1" "1" "1" "4" "4" "4" "4" "2" "2" "5" "2" "4" "2" "2" "2" "4" "5" "1" "2" "4" "5" "4" "1" "2" "5" "2" "2" "4" "5" "2" "2" "4" "2" "2" "5" "4" "5" "4" "1" "5" "4" "4" "4" "4" "5" "5" "4" "5" "1" "4" "3" "2" "5" "45" "38" "9" "F"
"60" "3" "1" "4" "2" "1" "1" "5" "1" "5" "5" "2" "4" "4" "1" "3" "1" "5" "4" "3" "5" "4" "4" "3" "1" "4" "4" "2" "4" "3" "4" "5" "4" "3" "3" "1" "3" "5" "4" "1" "5" "5" "3" "4" "3" "4" "3" "4" "4" "2" "3" "2" "1" "2" "2" "4" "4" "22" "28" "28" "F"
"61" "2" "1" "2" "1" "1" "1" "5" "2" "4" "2" "4" "3" "5" "2" "4" "1" "3" "5" "3" "4" "2" "5" "3" "1" "4" "4" "2" "1" "2" "5" "4" "5" "2" "5" "4" "1" "4" "5" "5" "5" "4" "5" "5" "2" "3" "5" "2" "2" "2" "5" "3" "2" "2" "5" "5" "5" "23" "33" "25" "F"
"62" "4" "2" "3" "3" "1" "3" "2" "2" "4" "1" "1" "4" "3" "4" "2" "1" "3" "4" "3" "4" "4" "3" "2" "1" "2" "1" "1" "4" "2" "3" "5" "4" "3" "1" "3" "5" "4" "4" "3" "5" "3" "4" "4" "4" "5" "2" "4" "5" "5" "5" "5" "4" "5" "5" "5" "5" "21" "48" "29" "M"
"63" "3" "1" "1" "1" "1" "1" "4" "2" "5" "3" "1" "5" "5" "1" "3" "1" "3" "3" "2" "4" "4" "2" "3" "1" "3" "3" "1" "5" "3" "2" "4" "3" "5" "3" "1" "5" "5" "4" "1" "4" "3" "3" "4" "2" "3" "2" "4" "3" "4" "5" "4" "3" "4" "4" "5" "4" "21" "40" "33" "M"
"64" "3" "3" "2" "2" "1" "1" "4" "2" "5" "3" "2" "4" "4" "3" "4" "1" "4" "4" "1" "5" "4" "3" "3" "2" "4" "4" "2" "5" "4" "3" "4" "2" "3" "3" "2" "4" "5" "4" "3" "5" "4" "4" "4" "4" "4" "4" "4" "4" "4" "4" "4" "4" "4" "4" "4" "4" "21" "40" "33" "F"
"65" "3" "1" "1" "1" "1" "1" "4" "1" "5" "2" "2" "2" "4" "4" "5" "1" "4" "4" "1" "5" "2" "2" "4" "1" "2" "3" "2" "3" "4" "2" "5" "4" "3" "2" "1" "5" "2" "4" "2" "4" "4" "2" "4" "2" "5" "2" "5" "5" "5" "4" "5" "4" "5" "5" "4" "5" "21" "47" "25" "F"
"66" "2" "1" "1" "1" "1" "2" "4" "4" "5" "2" "2" "2" "2" "2" "2" "2" "4" "2" "2" "2" "2" "4" "4" "2" "4" "1" "1" "4" "2" "4" "4" "5" "4" "1" "2" "2" "4" "4" "2" "5" "5" "4" "5" "2" "5" "5" "2" "3" "2" "4" "2" "1" "2" "2" "2" "3" "26" "23" "18" "F"
"67" "1" "2" "1" "1" "1" "1" "4" "2" "5" "2" "4" "5" "5" "2" "2" "1" "5" "1" "4" "4" "4" "3" "2" "1" "4" "2" "2" "4" "5" "2" "1" "4" "4" "1" "4" "5" "5" "5" "2" "5" "3" "2" "5" "5" "5" "2" "2" "5" "5" "2" "4" "1" "4" "2" "1" "5" "25" "31" "22" "F"
"68" "4" "2" "2" "1" "2" "1" "2" "2" "4" "1" "2" "3" "4" "2" "1" "1" "2" "2" "2" "4" "4" "2" "2" "2" "4" "2" "4" "4" "1" "2" "4" "4" "2" "2" "2" "5" "4" "4" "2" "4" "4" "2" "4" "4" "4" "4" "2" "4" "4" "2" "2" "1" "2" "4" "2" "4" "26" "27" "17" "F"
"69" "4" "1" "2" "2" "2" "2" "3" "1" "4" "2" "2" "2" "4" "4" "3" "2" "4" "1" "2" "3" "3" "2" "2" "1" "4" "1" "1" "4" "3" "2" "2" "5" "3" "1" "1" "3" "4" "4" "3" "4" "3" "3" "4" "3" "5" "4" "3" "4" "4" "5" "4" "5" "3" "5" "4" "4" "21" "41" "25" "M"
"70" "5" "5" "5" "5" "5" "5" "5" "1" "4" "4" "2" "4" "4" "2" "2" "2" "4" "2" "2" "4" "4" "4" "4" "2" "4" "1" "1" "4" "2" "4" "2" "5" "2" "1" "1" "2" "4" "2" "4" "5" "5" "5" "5" "4" "4" "5" "2" "5" "5" "2" "5" "1" "5" "2" "2" "5" "22" "34" "0" "F"
"71" "3" "2" "2" "1" "1" "1" "4" "2" "5" "4" "4" "4" "2" "2" "4" "1" "4" "5" "4" "4" "3" "2" "4" "1" "4" "3" "4" "3" "2" "4" "4" "3" "2" "4" "3" "4" "4" "4" "1" "5" "4" "1" "4" "4" "4" "4" "2" "4" "5" "3" "5" "1" "4" "3" "3" "4" "23" "34" "28" "F"
"72" "3" "2" "1" "1" "1" "2" "4" "1" "4" "2" "2" "4" "4" "2" "3" "1" "3" "4" "2" "4" "3" "2" "2" "1" "5" "2" "3" "3" "2" "2" "4" "4" "4" "2" "3" "3" "4" "4" "3" "5" "4" "3" "5" "2" "4" "2" "3" "4" "2" "1" "3" "1" "2" "3" "2" "4" "22" "25" "22" "F"
